event_type,actor,sex_actor,recipient,sex_recipient
LEAVE,1,FEMALE,37,FEMALE
LEAVE,3,FEMALE,37,FEMALE
LEAVE,4,FEMALE,37,FEMALE
JOIN,5,FEMALE,37,FEMALE
JOIN,5,FEMALE,37,FEMALE
JOIN,1,FEMALE,37,FEMALE
JOIN,1,FEMALE,37,FEMALE
LEAVE,4,FEMALE,37,FEMALE
LEAVE,4,FEMALE,37,FEMALE
JOIN,2,FEMALE,37,FEMALE
LEAVE,1,FEMALE,37,FEMALE
LEAVE,3,FEMALE,37,FEMALE
LEAVE,58,MALE,37,FEMALE
JOIN,1,FEMALE,37,FEMALE
JOIN,58,MALE,37,FEMALE
LEAVE,5,FEMALE,37,FEMALE
LEAVE,3,FEMALE,37,FEMALE
LEAVE,3,FEMALE,37,FEMALE
LEAVE,3,FEMALE,37,FEMALE
LEAVE,1,FEMALE,37,FEMALE
LEAVE,58,MALE,37,FEMALE
JOIN,8,MALE,37,FEMALE
LEAVE,2,FEMALE,37,FEMALE
JOIN,1,FEMALE,37,FEMALE
LEAVE,58,MALE,37,FEMALE
JOIN,1,FEMALE,37,FEMALE
LEAVE,1,FEMALE,37,FEMALE
LEAVE,5,FEMALE,37,FEMALE
JOIN,7,MALE,37,FEMALE
LEAVE,3,FEMALE,37,FEMALE
JOIN,3,FEMALE,37,FEMALE
LEAVE,1,FEMALE,37,FEMALE
LEAVE,1,FEMALE,37,FEMALE
JOIN,6,MALE,37,FEMALE
LEAVE,4,FEMALE,37,FEMALE
JOIN,10,MALE,29,MALE
JOIN,7,MALE,29,MALE
JOIN,7,MALE,29,MALE
JOIN,9,FEMALE,29,MALE
JOIN,11,MALE,29,MALE
JOIN,10,MALE,29,MALE
LEAVE,7,MALE,29,MALE
LEAVE,9,FEMALE,29,MALE
LEAVE,10,MALE,29,MALE
LEAVE,9,FEMALE,29,MALE
LEAVE,7,MALE,29,MALE
JOIN,63,FEMALE,42,FEMALE
JOIN,14,MALE,42,FEMALE
JOIN,12,FEMALE,42,FEMALE
JOIN,12,FEMALE,42,FEMALE
JOIN,14,MALE,42,FEMALE
LEAVE,15,FEMALE,42,FEMALE
JOIN,13,MALE,42,FEMALE
JOIN,13,MALE,42,FEMALE
JOIN,13,MALE,42,FEMALE
JOIN,2,FEMALE,42,FEMALE
JOIN,12,FEMALE,42,FEMALE
JOIN,12,FEMALE,42,FEMALE
JOIN,2,FEMALE,6,MALE
JOIN,20,MALE,6,MALE
JOIN,8,MALE,6,MALE
LEAVE,2,FEMALE,6,MALE
JOIN,16,FEMALE,6,MALE
JOIN,19,MALE,6,MALE
LEAVE,4,FEMALE,6,MALE
LEAVE,38,MALE,6,MALE
JOIN,18,MALE,6,MALE
JOIN,7,MALE,6,MALE
LEAVE,8,MALE,6,MALE
JOIN,16,FEMALE,6,MALE
LEAVE,18,MALE,6,MALE
JOIN,4,FEMALE,6,MALE
JOIN,21,FEMALE,6,MALE
JOIN,2,FEMALE,6,MALE
JOIN,2,FEMALE,6,MALE
JOIN,19,MALE,6,MALE
LEAVE,21,FEMALE,6,MALE
JOIN,21,FEMALE,6,MALE
LEAVE,20,MALE,6,MALE
LEAVE,2,FEMALE,6,MALE
LEAVE,19,MALE,6,MALE
LEAVE,8,MALE,6,MALE
LEAVE,19,MALE,6,MALE
JOIN,37,FEMALE,6,MALE
JOIN,4,FEMALE,6,MALE
JOIN,19,MALE,6,MALE
JOIN,18,MALE,6,MALE
LEAVE,4,FEMALE,6,MALE
JOIN,14,MALE,6,MALE
LEAVE,20,MALE,6,MALE
JOIN,20,MALE,6,MALE
LEAVE,18,MALE,6,MALE
LEAVE,19,MALE,6,MALE
JOIN,18,MALE,6,MALE
JOIN,21,FEMALE,6,MALE
LEAVE,17,MALE,6,MALE
LEAVE,17,MALE,6,MALE
JOIN,22,MALE,59,FEMALE
JOIN,22,MALE,59,FEMALE
LEAVE,22,MALE,59,FEMALE
JOIN,11,MALE,59,FEMALE
JOIN,22,MALE,59,FEMALE
JOIN,22,MALE,59,FEMALE
LEAVE,22,MALE,59,FEMALE
LEAVE,22,MALE,59,FEMALE
LEAVE,22,MALE,59,FEMALE
JOIN,18,MALE,59,FEMALE
LEAVE,22,MALE,59,FEMALE
LEAVE,22,MALE,59,FEMALE
LEAVE,20,MALE,38,MALE
JOIN,20,MALE,38,MALE
LEAVE,17,MALE,38,MALE
LEAVE,23,FEMALE,38,MALE
JOIN,20,MALE,38,MALE
LEAVE,20,MALE,38,MALE
JOIN,20,MALE,38,MALE
LEAVE,20,MALE,38,MALE
LEAVE,6,MALE,38,MALE
JOIN,19,MALE,38,MALE
LEAVE,20,MALE,38,MALE
LEAVE,18,MALE,38,MALE
LEAVE,20,MALE,38,MALE
JOIN,20,MALE,38,MALE
LEAVE,24,FEMALE,38,MALE
LEAVE,19,MALE,38,MALE
LEAVE,18,MALE,38,MALE
JOIN,20,MALE,38,MALE
JOIN,20,MALE,38,MALE
LEAVE,20,MALE,38,MALE
JOIN,20,MALE,38,MALE
LEAVE,20,MALE,38,MALE
JOIN,20,MALE,38,MALE
JOIN,20,MALE,38,MALE
LEAVE,20,MALE,38,MALE
JOIN,20,MALE,38,MALE
LEAVE,18,MALE,38,MALE
LEAVE,8,MALE,38,MALE
LEAVE,20,MALE,38,MALE
LEAVE,19,MALE,38,MALE
LEAVE,25,FEMALE,75,MALE
JOIN,20,MALE,41,FEMALE
LEAVE,20,MALE,41,FEMALE
LEAVE,26,MALE,67,MALE
LEAVE,26,MALE,67,MALE
LEAVE,26,MALE,67,MALE
JOIN,26,MALE,67,MALE
JOIN,27,FEMALE,67,MALE
JOIN,26,MALE,67,MALE
JOIN,26,MALE,67,MALE
JOIN,27,FEMALE,67,MALE
JOIN,27,FEMALE,67,MALE
JOIN,28,MALE,67,MALE
JOIN,26,MALE,67,MALE
LEAVE,25,FEMALE,76,FEMALE
JOIN,31,MALE,56,MALE
JOIN,30,MALE,56,MALE
LEAVE,29,MALE,56,MALE
JOIN,11,MALE,56,MALE
LEAVE,11,MALE,56,MALE
JOIN,32,FEMALE,49,MALE
JOIN,33,FEMALE,49,MALE
LEAVE,33,FEMALE,49,MALE
JOIN,32,FEMALE,49,MALE
JOIN,33,FEMALE,49,MALE
JOIN,33,FEMALE,49,MALE
JOIN,34,FEMALE,49,MALE
LEAVE,36,FEMALE,74,FEMALE
JOIN,35,FEMALE,74,FEMALE
JOIN,37,FEMALE,57,MALE
JOIN,18,MALE,57,MALE
LEAVE,7,MALE,57,MALE
JOIN,4,FEMALE,57,MALE
LEAVE,37,FEMALE,57,MALE
LEAVE,7,MALE,57,MALE
LEAVE,7,MALE,57,MALE
LEAVE,4,FEMALE,57,MALE
LEAVE,7,MALE,57,MALE
LEAVE,18,MALE,57,MALE
JOIN,23,FEMALE,20,MALE
JOIN,41,FEMALE,20,MALE
JOIN,8,MALE,20,MALE
LEAVE,19,MALE,20,MALE
JOIN,39,FEMALE,20,MALE
LEAVE,2,FEMALE,20,MALE
JOIN,24,FEMALE,20,MALE
LEAVE,24,FEMALE,20,MALE
JOIN,7,MALE,20,MALE
JOIN,7,MALE,20,MALE
JOIN,7,MALE,20,MALE
JOIN,38,MALE,20,MALE
LEAVE,6,MALE,20,MALE
LEAVE,23,FEMALE,20,MALE
JOIN,4,FEMALE,20,MALE
JOIN,23,FEMALE,20,MALE
JOIN,16,FEMALE,20,MALE
LEAVE,24,FEMALE,20,MALE
JOIN,16,FEMALE,20,MALE
JOIN,16,FEMALE,20,MALE
LEAVE,2,FEMALE,20,MALE
JOIN,24,FEMALE,20,MALE
JOIN,40,FEMALE,20,MALE
LEAVE,39,FEMALE,20,MALE
LEAVE,2,FEMALE,20,MALE
JOIN,24,FEMALE,20,MALE
LEAVE,4,FEMALE,20,MALE
LEAVE,38,MALE,20,MALE
JOIN,23,FEMALE,20,MALE
LEAVE,7,MALE,20,MALE
LEAVE,4,FEMALE,20,MALE
LEAVE,4,FEMALE,20,MALE
LEAVE,19,MALE,20,MALE
JOIN,8,MALE,20,MALE
LEAVE,38,MALE,20,MALE
JOIN,38,MALE,20,MALE
LEAVE,18,MALE,20,MALE
LEAVE,8,MALE,20,MALE
LEAVE,38,MALE,20,MALE
LEAVE,4,FEMALE,20,MALE
LEAVE,7,MALE,20,MALE
LEAVE,19,MALE,20,MALE
LEAVE,38,MALE,20,MALE
LEAVE,4,FEMALE,20,MALE
JOIN,39,FEMALE,20,MALE
JOIN,38,MALE,20,MALE
JOIN,2,FEMALE,20,MALE
LEAVE,23,FEMALE,20,MALE
LEAVE,18,MALE,20,MALE
JOIN,39,FEMALE,20,MALE
JOIN,41,FEMALE,20,MALE
JOIN,39,FEMALE,20,MALE
JOIN,2,FEMALE,20,MALE
LEAVE,24,FEMALE,20,MALE
LEAVE,2,FEMALE,20,MALE
JOIN,17,MALE,20,MALE
LEAVE,4,FEMALE,20,MALE
LEAVE,38,MALE,20,MALE
LEAVE,18,MALE,20,MALE
LEAVE,23,FEMALE,20,MALE
LEAVE,4,FEMALE,20,MALE
JOIN,2,FEMALE,20,MALE
JOIN,40,FEMALE,20,MALE
JOIN,8,MALE,20,MALE
LEAVE,2,FEMALE,20,MALE
JOIN,23,FEMALE,20,MALE
LEAVE,4,FEMALE,20,MALE
LEAVE,16,FEMALE,20,MALE
JOIN,16,FEMALE,20,MALE
JOIN,16,FEMALE,20,MALE
JOIN,17,MALE,20,MALE
LEAVE,24,FEMALE,20,MALE
JOIN,16,FEMALE,20,MALE
LEAVE,4,FEMALE,20,MALE
LEAVE,38,MALE,20,MALE
LEAVE,7,MALE,20,MALE
LEAVE,23,FEMALE,20,MALE
LEAVE,8,MALE,20,MALE
LEAVE,39,FEMALE,20,MALE
LEAVE,19,MALE,20,MALE
JOIN,4,FEMALE,20,MALE
JOIN,38,MALE,20,MALE
LEAVE,16,FEMALE,20,MALE
JOIN,16,FEMALE,20,MALE
JOIN,16,FEMALE,20,MALE
JOIN,24,FEMALE,20,MALE
LEAVE,38,MALE,20,MALE
JOIN,19,MALE,20,MALE
LEAVE,4,FEMALE,20,MALE
LEAVE,38,MALE,20,MALE
JOIN,7,MALE,20,MALE
JOIN,23,FEMALE,20,MALE
LEAVE,8,MALE,20,MALE
JOIN,6,MALE,20,MALE
LEAVE,17,MALE,20,MALE
JOIN,23,FEMALE,20,MALE
LEAVE,2,FEMALE,20,MALE
JOIN,4,FEMALE,20,MALE
JOIN,4,FEMALE,20,MALE
LEAVE,38,MALE,20,MALE
JOIN,4,FEMALE,20,MALE
JOIN,4,FEMALE,20,MALE
LEAVE,23,FEMALE,20,MALE
JOIN,6,MALE,20,MALE
LEAVE,16,FEMALE,20,MALE
LEAVE,18,MALE,20,MALE
JOIN,38,MALE,20,MALE
JOIN,4,FEMALE,20,MALE
LEAVE,16,FEMALE,20,MALE
LEAVE,6,MALE,20,MALE
JOIN,38,MALE,20,MALE
LEAVE,18,MALE,20,MALE
JOIN,39,FEMALE,20,MALE
JOIN,38,MALE,20,MALE
JOIN,39,FEMALE,20,MALE
LEAVE,38,MALE,20,MALE
LEAVE,17,MALE,20,MALE
JOIN,39,FEMALE,20,MALE
JOIN,37,FEMALE,20,MALE
JOIN,2,FEMALE,20,MALE
LEAVE,38,MALE,20,MALE
JOIN,38,MALE,20,MALE
LEAVE,39,FEMALE,20,MALE
LEAVE,2,FEMALE,20,MALE
JOIN,23,FEMALE,2,FEMALE
JOIN,23,FEMALE,2,FEMALE
LEAVE,4,FEMALE,2,FEMALE
JOIN,4,FEMALE,2,FEMALE
JOIN,4,FEMALE,2,FEMALE
JOIN,4,FEMALE,2,FEMALE
JOIN,40,FEMALE,2,FEMALE
JOIN,4,FEMALE,2,FEMALE
JOIN,17,MALE,2,FEMALE
LEAVE,23,FEMALE,2,FEMALE
JOIN,23,FEMALE,2,FEMALE
JOIN,20,MALE,2,FEMALE
LEAVE,20,MALE,2,FEMALE
LEAVE,4,FEMALE,2,FEMALE
JOIN,43,FEMALE,2,FEMALE
LEAVE,4,FEMALE,2,FEMALE
LEAVE,4,FEMALE,2,FEMALE
JOIN,23,FEMALE,2,FEMALE
JOIN,40,FEMALE,2,FEMALE
LEAVE,39,FEMALE,2,FEMALE
LEAVE,8,MALE,2,FEMALE
LEAVE,4,FEMALE,2,FEMALE
JOIN,42,FEMALE,2,FEMALE
JOIN,24,FEMALE,2,FEMALE
LEAVE,4,FEMALE,2,FEMALE
JOIN,19,MALE,2,FEMALE
LEAVE,44,FEMALE,2,FEMALE
LEAVE,4,FEMALE,2,FEMALE
JOIN,4,FEMALE,2,FEMALE
JOIN,4,FEMALE,2,FEMALE
JOIN,42,FEMALE,2,FEMALE
LEAVE,4,FEMALE,2,FEMALE
LEAVE,24,FEMALE,2,FEMALE
LEAVE,4,FEMALE,2,FEMALE
JOIN,4,FEMALE,2,FEMALE
JOIN,23,FEMALE,2,FEMALE
LEAVE,4,FEMALE,2,FEMALE
LEAVE,4,FEMALE,2,FEMALE
JOIN,6,MALE,2,FEMALE
JOIN,4,FEMALE,2,FEMALE
JOIN,23,FEMALE,2,FEMALE
JOIN,4,FEMALE,2,FEMALE
JOIN,4,FEMALE,2,FEMALE
LEAVE,21,FEMALE,2,FEMALE
LEAVE,16,FEMALE,2,FEMALE
LEAVE,16,FEMALE,2,FEMALE
JOIN,6,MALE,2,FEMALE
JOIN,4,FEMALE,2,FEMALE
JOIN,4,FEMALE,2,FEMALE
JOIN,20,MALE,2,FEMALE
JOIN,19,MALE,2,FEMALE
LEAVE,44,FEMALE,2,FEMALE
JOIN,4,FEMALE,2,FEMALE
LEAVE,46,FEMALE,2,FEMALE
JOIN,16,FEMALE,2,FEMALE
LEAVE,4,FEMALE,2,FEMALE
JOIN,6,MALE,2,FEMALE
JOIN,4,FEMALE,2,FEMALE
JOIN,20,MALE,2,FEMALE
LEAVE,23,FEMALE,2,FEMALE
JOIN,6,MALE,2,FEMALE
LEAVE,4,FEMALE,2,FEMALE
LEAVE,23,FEMALE,2,FEMALE
JOIN,18,MALE,2,FEMALE
LEAVE,43,FEMALE,2,FEMALE
JOIN,23,FEMALE,2,FEMALE
JOIN,4,FEMALE,2,FEMALE
JOIN,18,MALE,2,FEMALE
JOIN,23,FEMALE,2,FEMALE
JOIN,23,FEMALE,2,FEMALE
LEAVE,4,FEMALE,2,FEMALE
LEAVE,47,MALE,2,FEMALE
JOIN,4,FEMALE,2,FEMALE
JOIN,18,MALE,2,FEMALE
JOIN,4,FEMALE,2,FEMALE
JOIN,4,FEMALE,2,FEMALE
LEAVE,43,FEMALE,2,FEMALE
JOIN,4,FEMALE,2,FEMALE
JOIN,4,FEMALE,2,FEMALE
LEAVE,4,FEMALE,2,FEMALE
JOIN,16,FEMALE,2,FEMALE
LEAVE,4,FEMALE,2,FEMALE
LEAVE,18,MALE,2,FEMALE
JOIN,4,FEMALE,2,FEMALE
JOIN,19,MALE,2,FEMALE
JOIN,6,MALE,2,FEMALE
LEAVE,23,FEMALE,2,FEMALE
LEAVE,18,MALE,2,FEMALE
JOIN,20,MALE,2,FEMALE
JOIN,17,MALE,2,FEMALE
LEAVE,23,FEMALE,2,FEMALE
JOIN,4,FEMALE,2,FEMALE
JOIN,18,MALE,2,FEMALE
LEAVE,40,FEMALE,2,FEMALE
JOIN,16,FEMALE,2,FEMALE
JOIN,4,FEMALE,2,FEMALE
LEAVE,24,FEMALE,2,FEMALE
LEAVE,4,FEMALE,2,FEMALE
LEAVE,4,FEMALE,2,FEMALE
JOIN,4,FEMALE,2,FEMALE
JOIN,4,FEMALE,2,FEMALE
JOIN,20,MALE,2,FEMALE
